Casa,Cao,Porco,Boi,Gato,Pato,Cabrito,Galinha,Peru,Pombo,Coelho,Ganco,Burro
2,0,2,0,0,0,0,0,0,0,0,0,0
6,0,1,0,1,0,0,3,0,0,0,0,0
10,1,1,0,1,1,0,0,0,0,0,0,0
11,0,1,0,1,2,3,7,0,0,0,0,0
20,0,0,0,0,0,0,0,0,5,0,0,0
23,0,1,0,1,0,0,9,0,0,0,0,0
24,0,0,0,0,12,0,7,0,0,0,0,0
25,0,0,0,0,0,0,10,0,0,0,0,0
26,1,2,0,1,3,0,5,0,0,0,0,0
28,1,1,0,0,0,1,1,0,0,0,0,0
30,0,1,0,1,0,0,0,0,0,0,0,0
33,0,1,0,0,0,0,4,0,0,0,0,0
35,0,0,0,0,5,3,1,0,0,0,0,0
36,0,1,0,0,0,0,0,0,0,0,0,0
39,0,3,0,0,0,0,3,0,0,0,0,0
40,0,1,0,0,0,0,0,0,0,0,0,0
43,0,1,0,0,0,0,0,0,0,0,0,0
47,0,0,0,2,2,0,0,0,0,0,0,0
56,0,2,0,1,5,0,0,0,0,0,0,0
58,0,1,0,0,0,0,6,0,0,0,0,0
60,1,1,0,0,0,1,5,0,0,0,0,0
61,1,5,0,1,3,0,3,0,0,0,0,0
64,0,0,0,0,0,2,1,0,0,0,0,0
66,0,2,0,1,4,1,5,0,0,0,0,0
68,0,0,0,0,0,0,4,0,0,0,0,0
69,0,5,14,0,20,0,10,0,0,0,0,0
71,0,1,0,0,0,0,2,0,0,0,0,0
72,0,0,0,0,0,2,7,0,0,0,0,0
74,0,1,0,0,0,0,4,0,0,0,0,0
76,0,1,0,1,1,0,7,0,0,0,0,0
78,0,1,0,0,0,0,7,0,0,0,0,0
82,0,3,0,1,6,2,30,0,0,0,0,0
83,0,3,0,0,0,0,0,0,0,0,0,0
91,1,0,1,0,0,1,1,0,0,0,0,0
94,0,9,0,4,0,2,3,0,0,0,0,0
95,0,1,0,1,0,1,12,0,0,0,0,0
97,0,0,0,0,3,0,2,0,0,0,0,0
98,0,1,3,1,0,1,0,0,0,0,0,0
99,0,0,0,0,3,0,2,0,0,0,0,0
100,0,5,0,2,2,0,0,0,0,0,0,0
105,0,1,2,0,0,4,11,0,0,0,0,0
108,0,1,0,0,3,0,0,0,0,0,0,0
111,0,1,0,0,0,0,3,0,0,0,0,0
112,0,4,0,0,2,0,0,0,0,0,0,0
115,0,1,0,0,0,0,1,0,0,0,0,0
116,0,0,0,0,3,2,3,0,0,0,0,0
117,0,0,0,1,5,2,3,0,0,0,0,0
118,0,0,0,1,5,2,3,0,0,0,0,0
122,0,0,0,0,3,0,2,0,0,0,0,0
123,0,1,0,0,0,0,8,0,0,0,0,0
124,0,0,0,0,8,0,0,0,0,0,0,0
125,0,1,0,0,1,0,3,0,0,0,0,0
128,0,4,0,1,6,0,5,0,0,0,0,0
133,0,2,0,0,0,0,15,0,0,0,0,0
135,0,5,0,0,2,0,20,0,0,0,0,0
138,0,3,0,0,0,3,14,0,0,0,0,0
141,0,1,0,3,0,2,3,0,0,0,0,0
146,0,8,10,0,15,0,5,0,0,0,0,0
148,0,3,0,0,0,0,7,0,0,0,0,0
150,1,4,0,0,0,0,1,0,0,0,0,0
164,1,3,0,1,2,6,12,0,0,0,0,0
166,0,2,0,1,0,2,9,0,0,0,0,0
181,0,1,0,0,0,0,0,0,0,0,0,0
183,0,6,4,0,5,4,15,5,0,0,0,0
186,0,2,0,0,0,4,25,0,0,0,0,0
187,0,0,0,1,3,0,12,0,0,0,0,0
190,0,2,0,0,0,1,3,0,0,0,0,0
192,0,2,0,0,0,0,0,0,0,0,0,0
193,1,2,1,0,0,2,13,0,0,0,0,0
198,2,1,0,1,0,0,5,0,0,0,0,0
204,0,1,3,1,0,0,0,0,0,0,0,0
206,0,0,0,0,14,0,0,0,0,0,0,0
207,0,1,5,1,3,2,0,0,0,0,0,0
210,0,2,5,0,25,2,7,0,0,0,0,0
212,0,0,0,0,2,0,5,0,0,0,0,0
213,0,1,0,0,0,0,3,0,0,0,0,0
214,0,4,2,0,6,0,23,0,0,0,0,0
219,1,1,0,0,0,0,2,0,0,0,0,0
223,0,1,0,0,0,0,0,0,0,0,0,0
