Date,Moonphase ,House,Collection,Time,live Af,Dead Af,Af_tot_fem,Af male,letabensis,gambiae,rufipes,Mansonia,Mans afr,afr male,Ms unf,unf male,Ms male,An t,Cx,Sp A,Other,Obs
07-Oct-2008	,full,23,l,0,0,0,106,0,0,0,0,0,0,0,2,0,0,0,0,0,,Trap hadn`t cotton wool                                                                                                                                                                                                  
08-Oct-2008	,full,23,l,0,0,0,143,7,3,0,0,0,63,0,11,2,0,2,3,0,,
09-Oct-2008	,full,23,l,0,0,0,222,2,0,1,0,0,3,0,9,2,0,2,1,0,,
10-Oct-2008	,full,23,l,0,0,0,30,3,0,1,0,0,7,0,4,0,0,1,2,0,,
11-Oct-2008	,full,23,l,0,0,0,174,0,0,0,0,0,3,0,0,0,0,1,0,3,,
12-Oct-2008	,full,23,l,0,0,0,86,2,1,0,0,0,3,0,2,0,0,1,0,0,,
13-Oct-2008	,full,23,l,0,0,0,39,2,0,0,0,0,3,0,1,0,0,0,0,0,,
07-Oct-2008	,full,24,l,0,0,0,125,13,0,0,0,0,1,0,2,0,0,0,1,0,,
08-Oct-2008	,full,24,l,0,0,0,53,0,0,0,0,0,6,0,2,0,0,0,1,0,,
09-Oct-2008	,full,24,l,0,0,0,70,1,0,0,0,0,14,0,18,2,0,0,1,0,,
10-Oct-2008	,full,24,l,0,0,0,158,0,0,0,0,0,3,0,11,0,0,1,0,0,1 culex male,
11-Oct-2008	,full,24,l,0,0,0,81,5,0,0,0,0,1,0,1,0,0,0,0,0,,
12-Oct-2008	,full,24,l,0,0,0,41,1,0,0,0,0,0,0,2,0,0,2,0,1,,
09-Sep-2008	,full,222,l,1,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,,
09-Sep-2008	,full,222,l,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,,
09-Sep-2008	,full,222,l,3,0,0,11,0,6,0,0,63,0,0,0,0,43,0,3,0,,
11-Sep-2008	,full,222,l,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11-Sep-2008	,full,222,l,2,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11-Sep-2008	,full,222,l,3,0,0,14,1,0,0,0,0,0,0,0,0,0,1,0,0,,
13-Sep-2008	,full,222,l,1,0,0,39,6,4,1,0,0,1,0,1,0,1,1,0,0,,
13-Sep-2008	,full,222,l,2,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,,
13-Sep-2008	,full,222,l,3,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,,
14-Sep-2008	,full,222,l,1,0,0,20,1,2,0,0,3,0,0,0,0,0,1,2,0,,
14-Sep-2008	,full,222,l,2,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,,
15-Sep-2008	,full,222,l,1,0,0,5,2,0,0,0,1,0,0,0,0,0,1,0,0,,
15-Sep-2008	,full,222,l,2,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,,
15-Sep-2008	,full,222,l,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,
08-Oct-2008	,full,222,l,1,0,0,9,0,8,0,0,0,8,0,5,0,0,1,1,0,,
08-Oct-2008	,full,222,l,2,0,0,7,0,1,0,0,0,3,2,0,1,0,0,0,1,,
08-Oct-2008	,full,222,l,3,0,0,2,0,0,0,0,0,2,0,1,0,0,0,1,0,,
09-Oct-2008	,full,222,l,1,0,0,4,0,5,0,0,0,7,0,1,4,0,2,0,0,,
09-Oct-2008	,full,222,l,2,0,0,3,0,1,0,0,0,4,5,1,1,0,0,0,0,,
09-Oct-2008	,full,222,l,3,0,0,11,0,0,0,0,0,4,2,2,0,0,0,1,0,,
10-Oct-2008	,full,222,l,1,0,0,2,0,0,0,0,0,1,0,0,1,0,1,1,0,,
10-Oct-2008	,full,222,l,2,0,0,6,2,0,0,0,0,1,0,0,0,0,0,1,0,,
10-Oct-2008	,full,222,l,3,0,0,6,0,0,0,0,0,1,1,2,1,0,0,1,0,,
11-Oct-2008	,full,222,l,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,
11-Oct-2008	,full,222,l,1,0,0,7,1,4,0,0,0,1,0,0,0,0,2,2,0,,
11-Oct-2008	,full,222,l,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,,
12-Oct-2008	,full,222,l,1,0,0,12,3,1,0,0,0,2,0,1,0,0,0,0,1,,
12-Oct-2008	,full,222,l,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,
12-Oct-2008	,full,222,l,3,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,,
13-Oct-2008	,full,222,l,1,0,0,2,0,2,0,0,0,1,0,0,0,0,1,1,0,,
13-Oct-2008	,full,222,l,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
13-Oct-2008	,full,222,l,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
09-Sep-2008	,full,3802,l,1,0,0,8,3,0,0,0,2,0,0,0,0,0,0,0,0,,
09-Sep-2008	,full,3802,l,2,0,0,18,1,0,0,0,8,0,0,0,0,0,1,0,0,,
09-Sep-2008	,full,3802,l,3,0,0,12,1,0,0,0,13,0,0,0,0,1,0,0,0,,
11-Sep-2008	,full,3802,l,1,0,0,55,1,32,0,0,17,0,0,0,0,0,3,1,0,,
11-Sep-2008	,full,3802,l,2,0,0,29,0,0,0,0,4,0,0,0,0,0,3,1,0,,
12-Sep-2008	,full,3802,l,1,0,0,120,1,3,0,1,1,0,0,0,0,0,3,0,0,,
12-Sep-2008	,full,3802,l,2,0,0,123,5,10,1,0,0,0,0,0,0,0,0,1,0,,
12-Sep-2008	,full,3802,l,3,0,0,81,11,0,0,0,6,0,0,0,0,0,0,0,0,,
13-Sep-2008	,full,3802,l,1,0,0,100,17,0,0,0,2,0,0,0,0,0,1,1,2,,
13-Sep-2008	,full,3802,l,2,0,0,38,8,0,0,0,0,0,0,0,0,0,0,1,0,,
13-Sep-2008	,full,3802,l,3,0,0,17,2,0,0,0,0,0,0,0,0,0,1,0,0,,
14-Sep-2008	,full,3802,l,1,0,0,59,31,0,0,0,3,0,0,0,0,0,1,0,0,,
14-Sep-2008	,full,3802,l,2,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,,
14-Sep-2008	,full,3802,l,3,0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,,
15-Sep-2008	,full,3802,l,1,0,0,3,0,0,0,0,0,15,0,0,0,8,2,3,0,,
15-Sep-2008	,full,3802,l,2,0,0,16,0,0,0,0,0,7,0,2,0,2,1,2,0,,
15-Sep-2008	,full,3802,l,3,0,0,2,1,0,0,0,0,2,0,0,0,0,0,2,0,,
07-Oct-2008	,full,3802,l,1,0,0,67,30,0,0,0,0,0,0,0,0,0,0,0,0,,
07-Oct-2008	,full,3802,l,2,0,0,29,2,3,0,0,0,0,0,0,0,0,0,0,0,,
07-Oct-2008	,full,3802,l,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
08-Oct-2008	,full,3802,l,1,0,0,24,3,5,0,0,0,2,1,0,0,0,0,1,0,,
08-Oct-2008	,full,3802,l,2,0,0,18,0,0,0,0,0,4,0,1,0,0,0,0,0,,
08-Oct-2008	,full,3802,l,3,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,,
09-Oct-2008	,full,3802,l,1,0,0,8,0,0,0,0,0,13,10,7,0,0,0,0,0,,
09-Oct-2008	,full,3802,l,2,0,0,72,0,0,0,0,0,16,0,9,0,0,0,0,0,,
09-Oct-2008	,full,3802,l,3,0,0,41,1,0,0,0,0,1,0,1,1,0,0,0,0,,
10-Oct-2008	,full,3802,l,1,0,0,15,4,0,0,0,0,0,1,0,0,0,0,3,0,,
10-Oct-2008	,full,3802,l,2,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,,
10-Oct-2008	,full,3802,l,3,0,0,30,3,0,0,0,0,1,0,1,0,0,0,1,0,,
11-Oct-2008	,full,3802,l,3,0,0,12,3,0,0,0,0,0,0,0,0,0,0,1,0,1 culex male,
11-Oct-2008	,full,3802,l,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,,
11-Oct-2008	,full,3802,l,2,0,0,25,9,0,0,0,0,0,0,0,0,0,0,1,0,,
12-Oct-2008	,full,3802,l,1,0,0,19,11,1,0,0,0,0,0,0,0,0,4,0,2,,
12-Oct-2008	,full,3802,l,2,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,,
12-Oct-2008	,full,3802,l,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,
13-Oct-2008	,full,3802,l,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,2,,
13-Oct-2008	,full,3802,l,2,0,0,16,3,0,0,0,0,0,0,0,0,0,0,3,0,,
13-Oct-2008	,full,3802,l,3,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,,
07-Oct-2008	,full,3852,l,0,0,0,91,0,40,0,0,0,5,0,4,0,0,0,2,0,,
08-Oct-2008	,full,3852,l,0,0,0,84,0,1,1,0,0,12,7,7,0,0,0,0,1,,
09-Oct-2008	,full,3852,l,0,0,0,103,0,0,0,0,0,7,8,4,0,0,0,0,0,,
10-Oct-2008	,full,3852,l,0,0,0,57,1,0,0,0,0,1,0,1,0,0,0,0,0,,
11-Oct-2008	,full,3852,l,0,0,0,134,0,0,1,0,0,1,0,1,0,0,0,0,0,,
12-Oct-2008	,full,3852,l,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,
13-Oct-2008	,full,3852,l,0,0,0,92,0,0,0,0,0,5,0,4,0,0,0,0,1,,
09-Sep-2008	,full,222,t,2,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,,
09-Sep-2008	,full,222,t,3,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,,
09-Sep-2008	,full,222,t,1,0,0,3,0,3,0,0,31,0,0,0,0,0,0,0,0,1 Aedes,
09-Sep-2008	,full,222,t,2,0,0,17,0,2,0,0,84,0,0,0,0,10,2,0,0,,
09-Sep-2008	,full,222,t,3,0,0,6,1,2,0,0,7,0,0,0,0,0,0,0,0,,
11-Sep-2008	,full,222,t,1,0,0,0,0,0,0,0,75,0,0,0,0,2,1,0,0,,
11-Sep-2008	,full,222,t,2,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,,
11-Sep-2008	,full,222,t,3,0,0,3,0,0,0,0,89,0,0,0,0,3,9,1,0,,
12-Sep-2008	,full,222,t,1,0,0,1,0,0,0,0,8,0,0,0,0,0,2,0,0,,
12-Sep-2008	,full,222,t,2,0,0,3,0,1,0,0,42,0,0,0,0,0,2,0,0,,
12-Sep-2008	,full,222,t,3,0,0,0,0,0,0,0,56,0,0,0,0,1,5,0,4,,
13-Sep-2008	,full,222,t,1,0,0,1,0,0,0,0,13,0,0,0,0,2,0,0,0,,
13-Sep-2008	,full,222,t,2,0,0,2,0,0,0,0,0,1,0,10,0,2,0,0,0,,
13-Sep-2008	,full,222,t,3,0,0,0,0,0,0,0,0,11,0,22,0,0,0,0,1,,
14-Sep-2008	,full,222,t,1,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,,
14-Sep-2008	,full,222,t,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,,
14-Sep-2008	,full,222,t,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,,
15-Sep-2008	,full,222,t,1,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,,
15-Sep-2008	,full,222,t,2,0,0,2,0,1,0,0,0,5,0,1,0,1,0,1,0,,
15-Sep-2008	,full,222,t,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,
07-Oct-2008	,full,222,t,1,0,0,26,0,4,0,0,0,8,0,10,0,0,1,1,0,,
07-Oct-2008	,full,222,t,2,0,0,18,0,0,0,0,0,7,0,7,1,0,1,0,0,,
07-Oct-2008	,full,222,t,3,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,,
07-Oct-2008	,full,222,t,1,0,0,13,0,2,0,0,0,2,0,8,0,0,0,0,0,,
07-Oct-2008	,full,222,t,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,
07-Oct-2008	,full,222,t,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,
08-Oct-2008	,full,222,t,1,0,0,11,0,1,0,0,0,114,0,22,7,0,1,1,0,1 culex male,
08-Oct-2008	,full,222,t,2,0,0,12,0,0,0,0,0,70,3,100,16,0,5,0,1,,
08-Oct-2008	,full,222,t,3,0,0,11,1,0,0,0,0,31,0,42,14,0,0,0,0,,
09-Oct-2008	,full,222,t,1,0,0,3,1,0,0,0,0,16,0,2,0,0,2,0,2,,
09-Oct-2008	,full,222,t,2,0,0,7,2,0,0,0,0,88,1,22,1,0,0,0,0,,
09-Oct-2008	,full,222,t,3,0,0,20,0,1,0,0,0,24,7,10,19,0,2,0,1,,
10-Oct-2008	,full,222,t,1,0,0,0,0,0,0,0,0,23,0,19,9,0,0,1,3,1 culex male,
10-Oct-2008	,full,222,t,2,0,0,14,0,4,0,0,0,52,1,31,34,0,1,0,0,,
10-Oct-2008	,full,222,t,3,0,0,8,0,0,0,0,0,68,0,54,30,0,6,2,0,,
11-Oct-2008	,full,222,t,3,0,0,4,0,0,0,0,0,6,0,8,0,0,3,0,0,2 culex male,
11-Oct-2008	,full,222,t,1,0,0,16,0,0,0,0,0,13,0,28,8,0,6,0,0,,
11-Oct-2008	,full,222,t,2,0,0,8,0,0,0,0,0,15,0,4,0,0,0,1,0,,
12-Oct-2008	,full,222,t,1,0,0,1,0,0,0,0,0,14,0,28,1,0,0,0,0,,
12-Oct-2008	,full,222,t,2,0,0,7,0,0,0,0,0,7,0,8,0,0,1,3,0,1 aedes,
12-Oct-2008	,full,222,t,3,0,0,2,0,0,0,0,0,5,0,8,0,0,1,1,0,,
13-Oct-2008	,full,222,t,1,0,0,11,7,0,0,0,0,16,0,17,13,0,4,3,0,,
13-Oct-2008	,full,222,t,2,0,0,3,3,1,0,0,0,7,1,6,3,0,0,0,0,,
13-Oct-2008	,full,222,t,3,0,0,7,0,0,0,0,,14,0,6,3,0,2,0,0,,
09-Sep-2008	,full,3802,t,1,0,0,0,0,0,0,0,18,0,0,0,0,18,4,0,0,,
09-Sep-2008	,full,3802,t,2,0,0,12,0,0,0,0,55,0,0,0,0,5,2,0,0,,
09-Sep-2008	,full,3802,t,3,0,0,16,1,0,0,0,45,0,0,0,0,9,5,0,0,,
11-Sep-2008	,full,3802,t,1,0,0,13,0,1,0,0,46,0,0,0,0,1,1,0,0,,
11-Sep-2008	,full,3802,t,2,0,0,15,1,0,0,0,25,0,0,0,0,1,0,0,0,,
12-Sep-2008	,full,3802,t,1,0,0,24,1,0,0,0,11,0,0,0,0,0,1,0,1,,
12-Sep-2008	,full,3802,t,2,0,0,47,0,0,0,0,56,0,0,0,0,4,5,0,1,,
12-Sep-2008	,full,3802,t,3,0,0,15,2,0,0,0,43,0,0,0,0,2,1,0,0,,
13-Sep-2008	,full,3802,t,1,0,0,33,1,0,0,0,5,0,0,0,0,0,0,0,0,,
13-Sep-2008	,full,3802,t,2,0,0,17,1,0,0,0,0,16,0,0,0,2,0,1,0,,
13-Sep-2008	,full,3802,t,3,0,0,7,2,0,0,0,0,6,0,3,0,1,0,1,0,,
14-Sep-2008	,full,3802,t,1,0,0,12,0,0,0,0,0,6,0,6,0,4,0,1,1,,
14-Sep-2008	,full,3802,t,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,,
14-Sep-2008	,full,3802,t,3,0,0,8,0,0,0,0,0,8,0,1,0,0,3,0,0,,
15-Sep-2008	,full,3802,t,1,0,0,33,26,0,0,0,0,3,0,0,0,0,2,3,0,,
15-Sep-2008	,full,3802,t,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15-Sep-2008	,full,3802,t,3,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,,
07-Oct-2008	,full,3802,t,1,0,0,16,0,0,0,0,0,2,0,5,0,0,0,0,0,,
07-Oct-2008	,full,3802,t,2,0,0,10,0,0,0,0,0,5,1,0,0,0,1,1,0,,
07-Oct-2008	,full,3802,t,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,,0,,
08-Oct-2008	,full,3802,t,1,0,0,12,1,0,0,0,0,45,0,12,3,0,2,0,1,,
08-Oct-2008	,full,3802,t,2,0,0,12,0,0,0,0,0,37,5,49,7,0,2,1,0,,
08-Oct-2008	,full,3802,t,3,0,0,19,2,0,1,0,0,32,6,6,2,0,0,0,0,,
09-Oct-2008	,full,3802,t,1,0,0,24,0,0,0,0,0,0,0,58,21,0,6,0,0,,
09-Oct-2008	,full,3802,t,2,0,0,8,1,0,0,0,0,32,0,48,13,0,4,0,0,,
09-Oct-2008	,full,3802,t,3,0,0,69,14,0,1,0,0,25,0,24,14,0,0,0,0,,
10-Oct-2008	,full,3802,t,1,0,0,0,0,0,0,0,,11,0,8,1,0,0,0,0,,
10-Oct-2008	,full,3802,t,2,0,0,5,0,0,0,0,0,18,0,8,0,0,0,0,0,,
10-Oct-2008	,full,3802,t,3,0,0,13,4,0,0,0,0,15,0,15,5,0,0,0,0,,
11-Oct-2008	,full,3802,t,1,0,0,137,0,0,0,0,0,1,0,1,2,0,2,0,0,,
11-Oct-2008	,full,3802,t,2,0,0,6,0,0,0,0,0,5,0,11,3,0,0,2,0,,
11-Oct-2008	,full,3802,t,3,0,0,4,2,1,0,0,0,2,0,3,0,0,0,1,0,,
12-Oct-2008	,full,3802,t,1,0,0,10,0,1,0,0,0,6,0,2,2,0,5,0,3,,
12-Oct-2008	,full,3802,t,2,0,0,11,0,0,0,0,0,2,1,1,0,0,0,1,0,,
12-Oct-2008	,full,3802,t,3,0,0,4,0,0,0,0,0,5,0,2,0,0,0,0,0,,
13-Oct-2008	,full,3802,t,1,0,0,4,0,0,0,0,0,20,0,11,9,0,0,0,7,,
13-Oct-2008	,full,3802,t,2,0,0,5,0,0,0,0,0,6,0,3,1,0,1,0,1,,
13-Oct-2008	,full,3802,t,3,0,0,8,1,0,0,0,0,16,1,18,3,0,0,0,0,,
23-Sep-2008	,no moon,23,l,0,0,0,131,5,0,0,0,0,9,0,0,0,0,4,0,1,,
24-Sep-2008	,no moon,23,l,0,0,0,4,1,0,0,0,0,27,0,9,0,1,5,0,0,,
25-Sep-2008	,no moon,23,l,0,92,93,185,0,4,0,0,0,35,0,14,0,2,1,0,0,,
26-Sep-2008	,no moon,23,l,0,81,95,176,26,15,1,0,0,33,0,4,0,0,5,0,0,,
27-Sep-2008	,no moon,23,l,0,59,64,59,28,2,0,0,0,7,0,14,0,0,0,0,0,,
28-Sep-2008	,no moon,23,l,0,55,192,247,27,2,0,0,0,33,0,0,2,0,0,2,0,,
23-Sep-2008	,no moon,222,l,1,0,0,10,0,0,0,0,0,4,0,0,0,0,2,0,1,,
24-Sep-2008	,no moon,222,l,3,0,0,7,0,0,0,0,0,3,0,2,0,0,0,0,0,,
24-Sep-2008	,no moon,222,l,2,0,0,9,0,0,0,0,0,6,0,14,0,0,1,0,2,,
24-Sep-2008	,no moon,222,l,1,0,0,10,0,0,0,0,0,2,0,11,0,0,0,0,0,,
25-Sep-2008	,no moon,222,l,1,0,0,4,1,0,0,0,0,16,0,11,0,1,1,0,0,,
25-Sep-2008	,no moon,222,l,2,0,0,3,0,0,0,0,0,5,0,3,0,0,0,2,0,,
25-Sep-2008	,no moon,222,l,3,0,0,4,0,1,0,0,0,9,0,5,0,0,1,1,0,,
26-Sep-2008	,no moon,222,l,1,0,0,6,0,0,0,0,0,10,0,4,0,0,2,1,0,,
26-Sep-2008	,no moon,222,l,3,0,0,2,0,1,0,0,0,8,0,3,2,0,0,2,0,,
26-Sep-2008	,no moon,222,l,2,0,0,4,0,0,0,0,0,6,0,0,0,0,1,0,1,,
27-Sep-2008	,no moon,222,l,1,0,0,16,1,0,0,0,0,5,0,3,2,0,2,0,0,,
27-Sep-2008	,no moon,222,l,2,0,0,14,0,0,0,0,0,15,0,28,0,0,1,0,0,,
27-Sep-2008	,no moon,222,l,3,0,0,24,0,2,0,0,0,26,0,0,0,0,1,0,0,,
28-Sep-2008	,no moon,222,l,1,0,0,21,1,0,0,1,0,1,0,1,0,0,0,1,0,,battery stolen early morning
28-Sep-2008	,no moon,222,l,2,27,27,27,0,6,0,0,0,12,0,20,0,0,3,4,0,,
28-Sep-2008	,no moon,222,l,3,25,0,25,1,10,0,0,0,6,0,5,0,0,8,0,5,,
29-Sep-2008	,no moon,222,l,1,,,14,0,1,0,0,0,0,0,2,0,0,0,0,1,,
29-Sep-2008	,no moon,222,l,2,,,12,1,1,0,0,0,1,0,2,0,0,1,2,0,,
29-Sep-2008	,no moon,222,l,3,,,1,0,0,0,0,0,1,0,1,0,0,1,0,0,,
23-Sep-2008	,no moon,3802,l,1,0,0,12,2,2,0,0,0,4,0,0,0,0,1,2,0,,
