Casa,impregnado,comprado,Quando,preco (mil)
3004,s,Maputo,2002,10
125,n,Furvela,2000,50
680,n,Furvela,2000,50
3021,n,Furvela,2001,50
875,n,Massinga,2001,50
219,s,Inharrumbo,2002,50
1477,n,M´bene,2003,50
47,n,Beira,2001,60
800,n,Furvela,2002,60
791,s,Xai-Xai,2003,60
793,s,Xai-Xai,2003,60
611,nao sei,M´bene,2001,80
655,n,Maputo,2001,80
560,n,Maxixe,2001,80
124,s,Furvela,2002,80
1522,nao sei,Furvela,2003,80
1523,nao sei,Furvela,2003,80
1436,n,Maputo,2003,80
69,n,NA,NA,85
1367,n,Maputo,2001,90
1334,n,M´bene,2002,90
490,n,Maputo,1991,95
12,n,Furvela,2001,100
58,n,M´bene,2001,100
1470,n,Maxixe,2001,100
1360,n,M´bene,2002,100
1179,n,Maxixe,2002,100
1413,n,Maxixe,2002,100
1370,n,NA,2002,100
3142,nao sei,Furvela,2003,100
899,n,Maxixe,2003,100
74,n,Maxixe,2003,100
1464,n,Maputo,2004,100
1458,n,Maxixe,2004,100
128,nao sei,Maxixe,1998,110
243,s,Furvela,2001,110
78,n,M´bene,2002,110
3002,n,Maputo,2002,110
3003,n,Maputo,2002,110
273,n,Maxixe,2002,110
538,n,Maxixe,2002,110
1396,n,Beira,2003,110
1395,s,Maxixe,2004,110
1445,n,Furvela,1992,120
1447,n,Furvela,1992,120
1210,n,Africa do Sul,1996,120
1453,n,I´bane,1996,120
621,nao sei,Africa do Sul,1997,120
185,n,M´bene,2000,120
521,n,Mambone,2000,120
1499,n,Maputo,2000,120
1498,nao sei,Maputo,2000,120
1500,nao sei,Maputo,2000,120
3130,n,Maxixe,2000,120
837,n,Maxixe,2000,120
94,n,Beira,2001,120
1060,n,Beira,2001,120
423,s,Furvela,2001,120
1457,n,Joacani,2001,120
100,n,M´bene,2001,120
1530,nao sei,M´bene,2001,120
583,n,Maputo,2001,120
1163,n,Maputo,2001,120
676,n,Massinga,2001,120
1068,n,Maxixe,2001,120
372,n,Chimoio,2002,120
231,n,Furvela,2002,120
193,n,M´bene,2002,120
1070,n,M´bene,2002,120
1074,n,M´bene,2002,120
1398,n,M´bene,2002,120
675,s,M´bene,2002,120
1302,nao sei,M´bene,2002,120
1483,nao sei,M´bene,2002,120
1506,nao sei,Maputo,2002,120
64,n,Maxixe,2002,120
1142,n,Maxixe,2002,120
1143,n,Maxixe,2002,120
1492,nao sei,Maxixe,2002,120
1383,nao sei,Mucoduene,2002,120
3016,nao sei,NA,2002,120
1484,n,Furvela,2003,120
1487,n,Furvela,2003,120
1485,nao sei,Furvela,2003,120
363,n,M´bene,2003,120
664,n,M´bene,2003,120
1340,n,M´bene,2003,120
1341,n,M´bene,2003,120
1476,n,M´bene,2003,120
1341,nao sei,M´bene,2003,120
3020,n,Maputo,2003,120
1331,n,Maxixe,2003,120
4064,n,Maxixe,2003,120
4040,n,Maxixe,2003,120
4039,n,Maxixe,2003,120
1543,n,Mucoduene,2003,120
35,s,Furvela,2003,120
1349,n,No vendedor ambulante,2003,120
1478,n,Maputo,2004,120
4053,n,Furvela,2005,120
1545,n,M´bene,2005,120
4052,n,Maputo,2005,120
1162,n,NA,NA,120
4056,n,M´bene,NA,120
4091,n,Maxixe,NA,120
3165,n,M´bene,2001,125
223,s,Furvela,2001,130
313,n,Furvela,2002,130
3007,n,Maputo,2002,130
570,n,Maputo,2002,130
133,n,Maxixe,2002,130
429,n,Maxixe,2002,130
8,s,Furvela,2003,130
186,s,Furvela,2003,130
325,s,Furvela,2003,130
82,n,M´bene,2003,130
819,n,Maxixe,2003,130
911,nao sei,NA,NA,130
1475,s,Maputo,2001,140
1474,n,Maputo,2002,140
1015,n,Maxixe,2002,140
805,s,Furvela,2003,140
766,s,Maxixe,2003,140
1473,s,Maputo,2004,140
1391,n,M´bene,2002,145
802,n,M´bene,1992,150
3001,s,Morrumbene,1992,150
926,s,Furvela,1998,150
300,n,M´bene,1999,150
470,n,M´bene,1999,150
731,n,M´bene,2000,150
1006,n,M´bene,2000,150
1114,n,M´bene,2000,150
1337,n,Maputo,2000,150
1414,n,Maxixe,2000,150
782,n,Furvela,2001,150
209,n,M´bene,2001,150
364,n,Maxixe,2001,150
1420,n,Maxixe,2001,150
1452,n,Maxixe,2001,150
1454,n,Maxixe,2001,150
1418,nao sei,Maxixe,2001,150
1339,n,Africa do Sul,2002,150
934,n,Beira,2002,150
457,n,Beira,2002,150
1185,nao sei,Chibuto,2002,150
183,n,Chimoio,2002,150
284,n,Chimoio,2002,150
285,s,Chimoio,2002,150
20,nao sei,Furvela,2002,150
210,n,Furvela,2002,150
266,n,Furvela,2002,150
36,n,M´bene,2002,150
361,n,M´bene,2002,150
431,n,M´bene,2002,150
458,n,M´bene,2002,150
1110,n,M´bene,2002,150
1112,n,M´bene,2002,150
1345,n,M´bene,2002,150
648,s,M´bene,2002,150
1527,nao sei,M´bene,2002,150
678,n,Maputo,2002,150
263,n,Massinga,2002,150
365,n,Maxixe,2002,150
1115,n,Maxixe,2002,150
1232,n,Maxixe,2002,150
1416,n,Maxixe,2002,150
3016,s,Maxixe,2002,150
1415,s,Maxixe,2002,150
1417,nao sei,Maxixe,2002,150
1419,nao sei,Maxixe,2002,150
1502,nao sei,Maxixe,2002,150
665,s,Chimoio,2003,150
666,s,Chimoio,2003,150
3006,n,Furvela,2003,150
741,n,Furvela,2003,150
3042,s,Furvela,2003,150
643,s,Furvela,2003,150
644,s,Furvela,2003,150
260,n,M´bene,2003,150
1153,n,M´bene,2003,150
1322,n,M´bene,2003,150
918,s,M´bene,2003,150
1344,nao sei,M´bene,2003,150
910,n,Maputo,2003,150
1161,n,Maputo,2003,150
1402,n,Maputo,2003,150
1494,n,Maputo,2003,150
1333,nao sei,Maxixe,2003,150
3060,n,Maxixe,2003,150
76,n,Maxixe,2003,150
1012,n,Maxixe,2003,150
1084,n,Maxixe,2003,150
1446,n,Maxixe,2003,150
1403,nao sei,Maxixe,2003,150
3150,n,NA,2003,150
626,n,Furvela,2004,150
839,n,Maputo,2004,150
1459,n,Maxixe,2004,150
318,n,M´bene,NA,150
1410,n,M´bene,2001,160
1113,n,M´bene,2002,160
1130,n,M´bene,2002,160
518,n,Maxixe,2002,160
1330,n,M´bene,2002,170
552,n,Mavila,2002,170
482,n,Furvela,2000,180
3063,n,Maxixe,2000,180
207,n,No vendedor ambulante,2000,180
1455,n,Africa do Sul,2001,180
628,n,Maxixe,2001,180
1361,n,Maxixe,2001,180
1373,n,Maxixe,2001,180
494,n,Beira,2002,180
760,n,Furvela,2002,180
762,n,Furvela,2002,180
770,n,Furvela,2002,180
1379,n,Furvela,2002,180
26,n,M´bene,2002,180
1433,nao sei,M´bene,2002,180
25,n,Maputo,2002,180
1369,n,Maxixe,2002,180
917,s,Maxixe,2002,180
1144,s,Maxixe,2002,180
1181,n,No vendedor ambulante,2002,180
1409,n,Oferta da organizacäo,2002,180
935,s,Beira,2003,180
1358,n,Cumbana,2003,180
1472,n,Furvela,2003,180
809,s,M´bene,2003,180
23,s,M´bene,2003,180
426,n,Maputo,2003,180
3000,n,Massinga,2003,180
1332,n,Maxixe,2003,180
454,s,Furvela,NA,180
299,s,Maxixe,NA,180
792,s,Maxixe,NA,180
432,s,No vendedor ambulante,NA,180
420,n,NA,NA,180
909,n,Maxixe,NA,180
602,s,Nhamundiene,1999,200
419,n,Maxixe,2000,200
480,n,Maxixe,2000,200
551,n,Maxixe,2000,200
942,n,Maxixe,2002,200
