date,Sheet,Casa,Collection,nr_ copo,treatment,period_lado,start time,end time,Net type,Name,Af unfed,Af part,Af fed ,Af semi,Af_gravid,Af male,Ag unfed,Ag part,Ag fed,Ag semi,Ag_gravid,Ag male ,At female,At male,africana,uniformis,Ms female,africana2,uniformis2,Ms male,Cx female,Cx male,Ae female,Othersp,Sp A female,Sp A male,Marcado.f,colour,Marcado.M,Marcado.m.colour,Marcado Ag f,Marcado Ag m,Observacoes,number
29/09/2004,247,282,exit,,0,0,0,00:00,,edne,12,0,0,0,7,136,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2655
29/09/2004,247,326,exit,,0,0,0,00:00,,antonio,6,0,0,0,11,92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NA,0,0,,2657
30/09/2004,247,300,exit,,0,0,0,00:00,,antonio,8,0,0,0,12,46,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2665
30/09/2004,247,150,exit,,0,0,0,00:00,,edne,5,0,0,0,15,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2666
29/09/2004,247,3154,exit,,0,0,0,00:00,,nelson,15,0,0,0,11,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2668
30/09/2004,247,manuel,exit,,0,0,0,00:00,,nelson,2,0,0,3,17,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,NA,0,NA,0,0,,2669
04/10/2004,247,411,exit,,0,0,0,00:00,,antonio,1,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,NA,0,0,,2673
05/10/2004,247,1350,exit,,0,0,0,00:00,,nelson,9,0,0,0,24,50,2,0,0,0,2,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,NA,0,0,,2677
05/10/2004,247,234,exit,,0,0,0,00:00,,antonio,4,0,0,0,23,77,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2680
07/11/2004,248,150,exit,,0,0,0,00:00,,anabela,1,0,0,0,5,32,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2681
07/11/2004,248,282,exit,,0,0,0,00:00,,Ricardina,11,0,0,0,8,73,3,0,0,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2682
07/11/2004,248,6,exit,,0,0,0,00:00,,marcia,3,0,0,0,14,65,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2683
07/11/2004,248,12,exit,,0,0,0,00:00,,Mateus,1,0,0,0,12,84,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2684
07/11/2004,248,3154,exit,,0,0,0,00:00,,antonio,10,0,0,0,9,82,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2685
27/10/2004,249,ct5,exit,,0,0,0,00:00,,nelson,24,0,0,0,26,308,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,NA,0,NA,0,0,,2699
27/10/2004,249,234,exit,,0,0,0,00:00,,antonio,16,0,0,0,11,48,1,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2700
27/10/2004,249,282,exit,,0,0,0,00:00,,edne,4,0,0,0,6,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2701
28/10/2004,249,367,exit,,0,0,0,00:00,,edne,1,0,0,0,24,61,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2704
28/10/2004,249,3154,exit,,0,0,0,00:00,,antonio,23,0,0,0,14,373,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA,0,NA,0,0,,2705
31/10/2004,249,150,exit,,0,0,0,00:00,,edne,1,0,0,0,9,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2707
01/11/2004,249,12,exit,,0,0,0,00:00,,edne,12,0,0,0,16,121,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA,0,NA,0,0,,2709
01/11/2004,249,3154,exit,,0,0,0,00:00,,Ricardina,22,0,0,0,6,116,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2711
01/11/2004,249,281,exit,,0,0,0,00:00,,Mateus,3,1,0,0,15,86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,NA,0,NA,0,0,,2712
02/11/2004,249,NA,exit,,0,0,0,00:00,,anabela,12,0,0,0,14,41,5,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2717
02/11/2004,249,3155,exit,,0,0,0,00:00,,Ricardina,4,0,0,0,13,2,4,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2718
02/11/2004,249,13,exit,,0,0,0,00:00,,marcia,27,0,0,0,22,138,4,0,0,0,6,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA,0,NA,0,0,,2719
04/11/2004,250,10,exit,,0,0,0,00:00,,anabela,6,0,0,0,12,39,4,0,0,0,3,11,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,NA,0,NA,0,0,,2730
03/11/2004,250,219,exit,,0,0,0,00:00,,Mateus,21,0,0,6,50,60,5,0,0,0,7,7,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,NA,0,NA,0,0,,2731
03/11/2004,250,3155,exit,,0,0,0,00:00,,marcia,4,0,0,2,28,12,3,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2732
03/11/2004,250,NA,exit,,0,0,0,00:00,,Ricardina,5,0,0,0,4,66,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2733
02/11/2004,250,281,exit,,0,0,0,00:00,,Mateus,17,0,0,0,1,59,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,NA,0,NA,0,0,,2734
04/11/2004,250,278,exit,,0,0,0,00:00,,Ricardina,5,0,0,0,2,82,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,0,NA,0,0,,2743
04/11/2004,250,298,exit,,0,0,0,00:00,,anabela,2,0,0,0,1,29,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,NA,0,NA,0,0,,2744
04/11/2004,250,3155,exit,,0,0,0,00:00,,Mateus,3,0,0,0,13,21,4,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2745
04/11/2004,250,150,exit,,0,0,0,00:00,,marcia,7,0,0,0,2,69,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2747
19/10/2004,251,3154,exit,,0,0,0,00:00,,antonio,37,0,0,0,22,745,1,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2751
19/10/2004,251,1394,exit,,0,0,0,00:00,,edne,2,1,0,0,48,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,NA,0,NA,0,0,,2753
20/10/2004,251,1324,exit,,0,0,0,00:00,,edne,7,0,0,1,12,60,0,1,0,0,0,4,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,NA,0,NA,0,0,,2754
20/10/2004,251,282,exit,,0,0,0,00:00,,nelson,58,0,0,0,16,244,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2756
21/10/2004,251,367,exit,,0,0,0,00:00,,edne,0,0,0,0,13,32,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA,0,NA,0,0,,2760
21/10/2004,251,219,exit,,0,0,0,00:00,,antonio,11,0,0,1,38,38,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,,2761
