number,Plate,row,col,Casa,Data,Coll,Especies,Numero,Amostra,abdomen,Resultado
177,2,a,11,ct5,14/12/2001,r,funestus,10,1,fed,0
178,2,b,11,ct5,14/12/2001,r,funestus,10,1,fed,2
269,3,e,10,ct5,14/12/2001,r,funestus,10,1,fed,0
270,3,f,10,ct5,14/12/2001,r,funestus,10,1,fed,3
271,3,g,10,ct5,14/12/2001,r,funestus,10,1,fed,3
1008,8,h,6,425,12/12/2001,l,funestus,6,1,fed,3
1009,8,a,7,ct5,17/12/2001,r,funestus,10,1,fed,0
1010,8,b,7,ct5,17/12/2001,r,funestus,10,1,fed,3
1012,8,d,7,1133,21/12/2001,l,funestus,8,1,fed,3
1127,9,g,9,1134,20/12/2001,l,funestus,10,1,fed,0
1137,9,a,11,ct4,21/12/2001,l,funestus,10,1,fed,0
1138,9,b,11,ct4,21/12/2001,l,funestus,10,1,fed,2
1149,9,e,12,ct5,12/12/2001,r,funestus,10,1,fed,0
1150,9,f,12,ct5,12/12/2001,r,funestus,10,1,fed,0
1151,9,g,12,ct5,12/12/2001,r,funestus,9,1,fed,0
1544,12,h,1,1104,28/12/2001,l,gambiae,10,1,fed,1
1555,12,c,3,425,12/11/2001,l,funestus,10,1,fed,0
1556,12,d,3,425,12/11/2001,l,funestus,10,1,fed,0
1557,12,e,3,425,12/11/2001,l,funestus,8,1,fed,0
1569,12,a,5,ct5,20/12/2001,l,funestus,10,1,fed,0
1602,12,b,9,1104,27/12/2001,l,gambiae,9,1,fed,0
1605,12,e,9,1104,27/12/2001,l,funestus,10,1,fed,0
884,13,d,3,ct2,13/12/2001,l,funestus,10,1,fed,3
885,13,e,3,ct2,13/12/2001,l,funestus,10,1,fed,0
886,13,f,3,ct2,13/12/2001,l,funestus,10,1,fed,0
891,13,c,4,ct2,13/12/2001,l,funestus,10,1,fed,0
892,13,d,4,ct2,13/12/2001,l,funestus,10,1,fed,0
917,13,e,7,ct5,17/12/2001,r,funestus,10,1,fed,0
918,13,f,7,ct5,17/12/2001,r,funestus,10,1,fed,3
1470,14,f,4,425,12/12/2001,l,funestus,8,1,fed,3
1535,14,g,12,ct1,27/12/2001,l,funestus,10,1,fed,3
1355,15,c,2,1065,02/12/2002,l,funestus,10,1,fed,0
1356,15,d,2,1065,02/12/2002,l,funestus,6,1,fed,0
1383,15,g,5,33,02/07/2002,l,funestus,10,1,fed,0
1384,15,h,5,33,02/07/2002,l,funestus,10,1,fed,0
1385,15,a,6,33,02/07/2002,l,funestus,8,1,fed,0
1416,15,h,9,405,28/01/2002,l,funestus,6,1,fed,0
1295,16,g,6,121,02/10/2002,l,funestus,10,1,fed,0
1332,16,d,11,34,02/08/2002,l,funestus,10,1,fed,0
1333,16,e,11,34,02/08/2002,l,funestus,5,1,fed,0
1159,17,g,1,21,02/12/2002,l,gambiae,4,1,fed,0
1215,17,g,8,ct1,02/07/2002,l,funestus,10,1,fed,0
1224,17,h,9,21,15/02/2002,l,gambiae,7,1,fed,0
1225,17,a,10,21,15/02/2002,l,funestus,10,1,fed,0
1226,17,b,10,21,15/02/2002,l,funestus,10,1,fed,0
1227,17,c,10,21,15/02/2002,l,funestus,8,1,fed,0
1229,17,e,10,21,15/02/2002,l,gambiae,4,1,fed,0
1653,20,e,3,ct3,02/01/2002,l,funestus,8,1,fed,0
1658,20,b,4,ct1,02/05/2002,l,gambiae,9,1,fed,0
1678,20,f,6,10,02/11/2002,t,funestus,10,1,fed,3
1679,20,g,6,10,02/11/2002,t,funestus,10,1,fed,0
1692,20,d,8,33,02/08/2002,l,funestus,10,1,fed,3
1693,20,e,8,33,02/08/2002,l,funestus,10,1,fed,0
1694,20,f,8,33,02/08/2002,l,funestus,6,1,fed,0
1744,21,h,2,199,02/04/2002,l,gambiae,7,1,fed,0
1745,21,a,3,199,02/04/2002,l,funestus,10,1,fed,0
1782,21,f,7,164,14/02/2002,l,funestus,10,1,fed,0
1783,21,g,7,164,14/02/2002,l,funestus,6,1,fed,3
1830,22,f,1,444,17/07/2002,l,funestus,10,1,fed,0
1831,22,g,1,444,17/07/2002,l,funestus,10,1,fed,0
1832,22,h,1,444,17/07/2002,l,funestus,10,1,fed,0
1880,22,h,7,557,17/07/2002,l,funestus,10,1,fed,0
1881,22,a,8,557,17/07/2002,l,funestus,10,1,fed,0
1882,22,b,8,557,17/07/2002,l,funestus,10,1,fed,0
1919,22,g,12,857,23/10/2002,l,funestus,7,1,fed,3
2035,24,c,3,,07/09/2002,l,funestus,10,1,fed,0
2067,24,c,7,723,30/09/2002,l,funestus,10,1,fed,1
2090,24,b,10,733,10/01/2002,l,funestus,8,1,fed,0
2105,24,a,12,794,15/10/2002,l,funestus,10,1,fed,0
2106,24,b,12,794,15/10/2002,l,funestus,10,1,fed,0
2107,24,c,12,794,15/10/2002,l,funestus,10,1,fed,3
2108,24,d,12,794,15/10/2002,l,funestus,10,1,fed,0
2109,24,e,12,794,15/10/2002,l,funestus,10,1,fed,3
2110,24,f,12,794,15/10/2002,l,funestus,10,1,fed,0
2111,24,g,12,794,15/10/2002,l,funestus,10,1,fed,0
2112,24,h,12,794,15/10/2002,l,funestus,10,1,fed,0
2118,25,f,1,794,19/10/2002,l,funestus,10,1,fed,3
2119,25,g,1,794,19/10/2002,l,funestus,10,1,fed,3
2120,25,h,1,794,19/10/2002,l,funestus,10,1,fed,3
2121,25,a,2,794,19/10/2002,l,funestus,10,1,fed,3
2130,25,b,3,795,14/10/2002,l,funestus,5,1,fed,0
2182,25,f,9,797,15/10/2002,l,funestus,10,1,fed,0
2183,25,g,9,797,14/10/2002,l,funestus,10,1,fed,0
499,109,c,3,64,14/01/2002,l,funestus,10,1,fed,3
500,109,d,3,64,14/01/2002,l,funestus,10,1,fed,0
504,109,h,3,64,14/01/2002,l,funestus,10,1,fed,0
530,109,b,7,190,16/01/2002,l,funestus,6,1,fed,0
538,109,b,8,ct4,10/01/2002,l,funestus,6,1,fed,0
225,110,a,5,ct1,07/02/2002,l,funestus,10,1,fed,0
265,151,a,10,425,12/12/2001,l,funestus,8,1,fed,3
72,153,h,9,411,18/02/2002,l,funestus,7,1,fed,0
2049,154,a,5,33,07/02/2002,l,funestus,10,1,fed,0
2050,154,b,5,33,07/02/2002,l,funestus,8,1,fed,0
2103,154,g,11,425,12/12/2001,l,funestus,6,1,fed,3
1496,155,h,7,121,10/02/2002,l,funestus,10,1,fed,0
2230,156,f,3,21,15/02/2002,l,gambiae,7,1,fed,0
2289,156,a,11,ct5,12/12/2001,r,funestus,10,1,fed,0
2290,156,b,11,ct5,12/12/2001,r,funestus,9,1,fed,0
