"","X2.5.","X25.","X50.","X75.","X97.5.","Mean","SD","firstquarter"
"b[1]",0.0135743938932539,0.0966180405881351,0.167700400439441,0.255576239934151,0.560972389052198,0.193713521925396,0.137095449850781,8
"b[2]",0.0150853850915995,0.122924501405544,0.201524415143449,0.296741179303001,0.558305535490602,0.222350141942764,0.136142343233897,8
"b[3]",0.0120730852922964,0.105169625561831,0.179822046548098,0.278160634847465,0.533790576737889,0.203612991751333,0.133546782667953,8
"b[4]",0.024330144538827,0.128613753798653,0.205108458525965,0.303642565044275,0.53142740733199,0.225945468449455,0.128850281899234,8
"b[5]",0.0245401563907381,0.106950827370934,0.175644736316462,0.263358819305874,0.543910410565054,0.201851311784542,0.133839290918216,8
"cycle",2.17770720423489,2.75754992476481,3.02106571923952,3.27719762739522,3.99416767470529,3.02586390865132,0.438171830769985,8
"logb[1]",-4.29957192766765,-2.33698979962982,-1.78557623259199,-1.36423452313303,-0.578083735713113,-1.96321582679939,1.0439410763162,8
"logb[2]",-4.19403349575989,-2.09618493451044,-1.60184476299506,-1.21489497040012,-0.582848914725584,-1.77966987200048,0.988080566649714,8
"logb[3]",-4.41679835839812,-2.25218075084852,-1.71578755896776,-1.27955653693943,-0.627751773910445,-1.9046950086383,1.04264399855856,8
"logb[4]",-3.71603920900575,-2.05094161556164,-1.58421664514857,-1.1919041015292,-0.632188671899576,-1.70277117420493,0.763749655884058,8
"logb[5]",-3.70744462916306,-2.23538616313362,-1.73929186828493,-1.33423784557752,-0.60897073985481,-1.84328418142611,0.77254363949249,8
"mu[1]",0.164135320364926,1.14649239041038,2.49775377958544,5.04177429786793,20.7290607959568,4.71112226733013,11.918127471576,8
"mu[2]",0.182114244651327,1.10326696685925,2.41144407690749,5.01007209027451,20.3734711546991,4.43753525551349,10.0249551075496,8
"mu[3]",0.159200814888017,1.09291932423092,2.41975216694154,4.97488552075929,20.7824939813364,4.42272047522003,7.73151391989119,8
"mu[4]",0.182658657501197,1.11576179685008,2.45138755935575,4.99333172032237,20.5430509298095,4.70866207931291,18.6786959999481,8
"mu[5]",0.15630282894304,1.10388497886932,2.38211809955404,4.82872951693287,20.5758721664166,4.33936328816742,8.13706815733409,8
"mu[6]",0.172326300598434,1.13763677007082,2.47166266163805,4.92354565935864,19.0519214037577,4.2348038616499,6.90178349568677,8
"mu[7]",0.17741698635261,1.14211936213675,2.41605836704201,4.94790317440047,20.8002290830169,4.29029583255098,6.49838891878069,8
"mu[8]",0.19187905672457,1.20075712281418,2.56694018422904,4.97080693075012,17.5512489353323,4.24939531934399,6.29096681088438,8
"mu[9]",0.157164967195762,1.03670650547012,2.2024001408369,4.41098548105617,13.257957186931,3.43152448917622,4.16347116803527,8
"mu[10]",0.152434916613166,1.01258423931655,2.16347177733462,4.2066821948165,14.2427410074515,3.36970855768262,4.01640384403858,8
"mu[11]",0.203961200212211,1.13672150134497,2.34803413101198,4.20249089692682,12.088692653551,3.27796924123386,3.35386746854341,8
"mu[12]",0.21725931219107,1.2368583143908,2.62533970147447,5.21652218393329,17.9158413855543,4.2552277740192,5.48014533645377,8
"mu[13]",0.384306279676638,2.06199031160631,3.9362889832316,6.55986151789221,15.3354642818309,4.9014640712615,4.05388150531461,8
"mu[14]",0.271404373075999,1.57401838949067,3.09469242108269,5.59336272691899,15.2131681188695,4.23494991251132,4.05061505476269,8
"mu[15]",0.161003868714221,1.12236012617138,2.41780764936665,4.90826816103654,17.9404989846083,4.03626853141496,5.35940033140936,8
"mu[16]",0.158977126701288,1.06445137437134,2.31893718545522,4.53507882240391,14.5405367021151,3.59394880541604,4.30690417144329,8
"mu[17]",0.110338776499532,0.796518621214199,1.65742670582204,3.11171164325595,10.2059162930748,2.48220050836708,2.9344316961481,8
"mu[18]",0.144912859065829,1.03487943902765,2.22953333120804,4.15434077128113,14.744325456719,3.47153425272015,4.53161749701096,8
"mu[19]",0.121829474996533,0.813109808363632,1.7437923405038,3.44871759744646,11.6110074938145,2.77094472640526,3.43708143395025,8
"mu[20]",0.207006393784383,1.11214911503437,2.40370918815709,4.88345808323952,19.962389638071,4.25097891713294,6.59064023262101,8
"mu[21]",0.172393934059706,1.09790832986975,2.32345792714207,4.49642954713812,15.1697440709195,3.70297931479115,5.24624145598095,8
"mu[22]",0.193395502561908,1.40401372302666,3.20975998907589,6.82661429462241,33.4629169664317,6.38577929743756,11.0512893482363,8
"mu[23]",0.174378309330353,1.39369854624014,3.26154023792606,7.31366483938568,39.6971094720408,7.10032545516053,13.3170311789926,8
"mu[24]",0.194082318516029,1.45652476009278,3.13346520545473,6.75221418223568,33.2287427155098,6.39172382371375,11.9694704678713,8
"mu[25]",0.177320660371187,1.2601105890787,2.83338895440999,5.83699613535619,25.1657291632891,5.11848450527114,8.23621797079974,8
"mu[26]",0.17323013868384,1.19842565123797,2.65760245975156,5.59529631175938,21.537692393183,4.7208171270005,7.27191225213047,8
"mu[27]",0.312107219603686,2.05156522847308,4.26467953472327,8.27469250690329,24.133863527646,6.29496282552567,6.68103784436938,8
"mu[28]",0.155581780820562,1.02998995640695,2.19714037193001,4.34695494480456,15.7190941609265,3.59354760788733,4.82548110468515,8
"mu[29]",0.151967589080233,1.04669119829102,2.21458952721364,4.43591760677357,15.276562610426,3.64829053141618,5.01868531068624,8
"mu[30]",0.152759360933531,0.926274091003723,1.92044933668914,3.649722183017,11.301243466285,2.87033939605539,3.15665219262324,8
"mu[31]",0.173938766286721,1.25373257219317,2.6646974623514,5.56326242897532,20.3282333264731,4.52481681094801,6.04909073239263,8
"mu[32]",0.233296466200875,1.81686334834588,4.22353840352989,9.34440462514992,40.1588680859907,8.01334829871362,11.3276564259409,8
"mu[33]",0.296478167453166,2.08859330907187,4.87592162980981,11.3448171092792,42.873727685858,9.26287730844227,12.6048556324218,8
"mu[34]",0.187175231381037,1.41628083680488,3.14343992498523,6.5881619685561,23.971413845065,5.47754173493789,7.86378331682585,8
"mu[35]",0.185929885719943,1.30464138014478,3.07401439243314,6.64057012048905,28.1968484719819,5.58939492412498,7.92027001641093,8
"mu[36]",0.189344979395039,1.374209775625,3.02104669766104,6.4075547940313,23.8979342185267,5.20470823515247,6.68956744132022,8
"mu[37]",0.160740426075492,1.10714330699647,2.52061533817817,5.22351555497562,17.5649850063995,4.21384314299781,5.50171072047439,8
"mu[38]",0.318094232462848,2.22554914457162,5.12194761831193,11.9353233513093,52.205474458274,10.2499549027362,14.948362850445,8
"mu[39]",0.216235218360894,1.45975746192653,3.3405102395693,7.03486148154769,25.3565381074924,5.66567072104898,7.18229612321584,8
"mu[40]",0.19703095163642,1.40803533070884,3.07350404636978,6.50947909005236,22.8465351412573,5.20710981540768,6.3096842432661,8
"mu[41]",0.192969589689055,1.61916211535535,3.59589839687993,6.90761741945192,19.2965598593145,5.16001662319894,5.30620475057295,8
"mu[42]",0.164848802178571,1.12300302158034,2.44808647766067,4.70012032092542,15.5138218289206,3.77560375153881,4.51319159669358,8
"mu[43]",0.176377654843805,1.08924242572971,2.23749570306207,4.14716221112687,11.1587227371796,3.1170897068049,2.96023538665989,8
"mu[44]",0.12743168333605,0.779993786280845,1.62893433341605,3.01457969520603,8.70616022644757,2.29521068659799,2.27047333372821,8
"mu[45]",0.200945874796856,1.42807855304022,3.14977785473275,6.25281508870109,23.0462856364356,5.25557005504726,6.88618805420655,8
"mu[46]",0.260782501804899,1.52495481922668,3.13110940093374,6.32766732677908,20.6412854266362,5.06215663266001,6.09839022448883,8
"mu[47]",0.233321091480173,1.45366257737249,3.12291777481693,6.3842809854812,21.9137363118123,5.07894420120957,6.14285995435273,8
"mu[48]",0.127693140020296,0.79956513494477,1.67724249970567,2.99991548847257,8.29553687786161,2.27657106514228,2.18681160769796,8
"mu[49]",0.192290357649695,1.35201650429149,2.8083616129701,5.36592128495823,16.9085689334367,4.2991430766392,4.9827737250757,8
"mu[50]",0.217412134218369,1.62070813846778,3.21581580693835,6.18009411456203,19.6131164217332,4.86437908289169,5.50839121412277,8
"mu[51]",0.221024828886798,1.29313188393584,2.69805837936982,5.41547681956708,20.1700739398126,4.6437215060726,7.24983599498056,8
"mu[52]",0.159297695166059,1.27250281550868,2.92922420339809,6.17295997629749,28.0242097233305,5.70491044434119,12.3264708520045,8
"mu[53]",0.194111873478649,1.27066998417539,2.79242702729191,5.82757174782612,23.1075230980153,5.00478382925744,8.12855839229478,8
"mu[54]",0.177616120935882,1.21764333408346,2.68249884193202,5.44446290948001,22.1277687394168,4.63307002757545,6.30521564757648,8
"mu[55]",0.271113205878746,2.13536243722236,4.28345058699855,7.61500985190325,21.9147476821871,5.92912496904727,5.98374077368742,8
"mu[56]",0.159004968110934,1.07079245690216,2.34286207850159,4.53688721621277,17.6845642619658,3.8592363071276,5.18315904714985,8
"mu[57]",0.190351015396283,1.10897813022377,2.48171499045937,5.05037528463048,19.4905123067089,4.22526870559368,5.9592557635637,8
"mu[58]",0.143022707807185,0.998124179175537,2.16578376399065,4.2520470145019,12.4968247285721,3.31161500355531,3.89624245166595,8
"mu[59]",0.231874587598357,1.76510285459105,3.91560424028981,8.52593584974047,37.8054714256917,7.47019799462577,11.3063833082472,8
"mu[60]",0.264675474622714,1.90945358743473,4.29780042102263,9.74249440910969,43.2429794241979,8.46194446774634,12.4934007314209,8
"mu[61]",0.222327908226121,1.88007824331061,4.26025366417417,9.62076311962197,44.3995050068345,8.3160545372279,11.8530928928411,8
"mu[62]",0.207806209834816,1.53827467495357,3.32513225798389,6.92334013198528,26.6407541666054,5.7574516198937,7.69228370040165,8
"mu[63]",0.182271826901114,1.46291866393934,3.20825053377983,6.59287210688397,23.6183946224997,5.35766433258007,6.59641518783621,8
"mu[64]",0.18952582240018,1.23278639023935,2.58055482528914,5.02322325785035,15.6772288598907,3.93898995226322,4.44756643704545,8
"mu[65]",0.638151167519672,4.44992427597606,9.00864860867004,16.156218656144,42.8964122832069,12.2373888160123,12.2512020447989,8
"mu[66]",0.175417084414008,1.17225191720114,2.60944801895171,5.25523061053499,18.597227823065,4.27213517034799,5.56666707847686,8
"mu[67]",0.161559106542925,1.0901847780856,2.43448975835163,4.75545787681757,15.7701647296864,3.78438025540009,4.39569392384949,8
"mu[68]",0.233184391959642,1.44548396313439,3.00957679752952,5.70865351014601,18.3517182738872,4.52937915313855,5.23845484217286,8
"mu[69]",0.176027509171048,1.10220085236252,2.32214720798263,4.28426086933714,13.7756055757573,3.42883189696696,3.95192681854295,8
"mu[70]",0.223579041482434,1.53947232374746,3.11300772744913,6.13445797038516,20.9491788582499,4.99627616108345,6.10126279683282,8
"mu[71]",0.181476554926853,1.14710275535386,2.48115765472201,4.8638623367905,17.0101189014919,4.01064673343446,5.31673954205855,8
"mu[72]",0.170243139013825,1.02966286280578,2.19744371994942,4.2962871266496,12.709786123024,3.30480214169996,3.62205485607685,8
"mu[73]",0.171579347065373,1.14456254678836,2.40286543330048,4.47872047613346,14.7585591140948,3.62390527056837,4.32091518637764,8
"mu[74]",0.204312535364571,1.1659729840737,2.44026906276767,4.73728084686656,16.2790162458433,3.82889854728206,4.62185694143838,8
"mu[75]",0.169146972165527,1.14252903968826,2.51530165191223,4.83823405541219,16.6458277600185,3.93969614027924,4.78314799675024,8
"mu[76]",0.160846144460732,1.1691056152659,2.48786851094639,4.80576797293598,16.1051443882776,3.8593697165576,4.57390470124954,8
"mu[77]",0.15845697500826,0.905534750213269,1.84408471639715,3.34195327233055,9.47334566233267,2.59694428799448,2.73459364121328,8
"mu[78]",0.150961298038155,1.07354814152366,2.20830025446499,4.23799395970943,13.3876882269061,3.33842462281571,3.87223398012472,8
"mu[79]",0.249490233176483,1.70036099917895,3.43937557318196,6.08123726473479,16.572459286142,4.66219815946278,4.55737272156822,8
"mu[80]",0.201110718419243,1.17195891348338,2.54788401914125,5.16201684151835,17.8821705758576,4.12419570959754,5.03443042640852,8
"mu[81]",0.180228631740357,1.12486947859138,2.4303698673247,4.71911066174881,15.1242897019344,3.74490006444558,4.48508203765822,8
"mu[82]",0.212013323677381,1.2783468838786,2.57853672987657,4.85448243652479,15.1606291695592,3.83840857252453,4.22045686804956,8
"mu[83]",0.165547662121249,0.977494279174866,1.98581324395034,3.7419925951921,12.0154798151791,2.99664762166345,3.39086613874158,8
"mu[84]",0.153583769536249,0.943557770882543,1.92847684129304,3.62564668835162,10.8653087199962,2.83285941977362,3.15109177830357,8
"mu[85]",0.145072698150408,0.948191346528699,1.95397923734447,3.61962748525689,10.23885598703,2.77290989552817,2.74987702512368,8
"mu[86]",0.156323290771411,1.07879393964408,2.32403739306968,4.49420200734895,13.5700349275896,3.46571339049706,3.78467716891983,8
"mu[87]",0.170201532926628,1.28689669170636,2.93132710631062,6.24396955667604,22.2129969370906,4.99566481011647,6.14557153647563,8
"mu[88]",0.251725401309648,1.49918937369849,3.46323694350164,7.89116623158351,28.5724520303209,6.31745694667528,8.01888778992079,8
"mu[89]",0.261423679574073,1.73033582437836,3.89462751096248,8.34558125850888,31.6644532723065,6.74359275801066,8.82494344566641,8
"mu[90]",0.18613279428073,1.24801706983793,2.66579896094464,5.13145496349568,16.5760494691222,4.03124765009895,4.59425097590846,8
"mu[91]",0.320496761357615,1.99440027142512,4.09341703933793,7.27956888724061,18.6478703422499,5.40962887644475,4.94968051591157,8
"mu[92]",0.126343407676797,0.888946642344143,1.78039062465712,3.36010748412136,9.78844071698722,2.60476950908174,2.77148152490489,8
"mu[93]",0.200937677078731,1.32776601754843,2.79594617794686,5.09820038723345,14.5568396639554,3.92265118402291,4.08456492894651,8
"mu[94]",0.194370364815881,1.17563467395793,2.49726300600781,4.90814561221322,17.9027753672168,4.12858018371105,6.25422375081082,8
"mu[95]",0.190807069695554,1.21315699773973,2.48999404187574,5.05444249703,17.805848183644,4.08718669197841,5.10674316005927,8
"mu[96]",0.16297859572536,1.13383154540517,2.42284699756996,4.81652339137691,17.9654506226151,3.98092160405074,5.32732718388924,8
"mu[97]",0.130173114435531,0.783952687768745,1.60453392599687,3.00931255595498,8.82443812475605,2.33346681627203,2.554421430938,8
"mu[98]",0.154841250765113,1.04416359407312,2.26934391346219,4.61189422014333,16.1193654951845,3.76402162189695,5.23657666024135,8
"mu[99]",0.13490949268079,1.01448768488966,2.1217148016474,4.14726419593806,13.9412854406825,3.34697158940304,4.86423161988151,8
"mu[100]",0.155590545403497,0.870914369144581,1.80136783746909,3.39364475684682,11.0291371903402,2.75504109590444,3.3309568825054,8
"mu[101]",0.111967952426305,0.781314982767135,1.67233232821027,3.09115879381823,9.36463159274205,2.39480303994606,2.55016794863506,8
"mu[102]",0.115124562002155,0.700228637584888,1.46349543805287,2.77668211713047,8.29931827647765,2.14574017417268,2.24503225761812,8
"mu[103]",0.111600108471422,0.687230869685047,1.45187439243971,2.73816752864147,8.22761473183612,2.13554331997982,2.30517892326319,8
"mu[104]",0.14507669631129,0.83176585209655,1.73946054171132,3.16498755909925,8.67776646300895,2.38240522512685,2.29755412119305,8
"mu[105]",0.106371843672222,0.617727075913077,1.27569970201534,2.33364277132173,6.42576239057703,1.78279940343138,1.77840438906579,8
"mu[106]",0.129764209546483,0.635588166203975,1.27964268434458,2.35536711018217,6.34241626725472,1.81352310182658,1.78788894411383,8
"mu[107]",0.098334469646515,0.570775057891767,1.20744754174279,2.39980052770104,6.66678693331559,1.78738107664291,1.82022666183526,8
"mu[108]",0.129133593603568,1.03205444886773,2.12845218473964,4.1329129677147,12.9588166342785,3.25267857118843,3.6385157488061,8
"mu[109]",0.163751643115154,1.00624752101179,2.09173447511857,4.02588373143706,12.4330536645817,3.18596866010007,3.98471288456054,8
"mu[110]",0.138134731003138,0.984394756730896,2.00123301192853,3.75700885928735,11.6787295908704,2.99876722598646,3.53481814559271,8
"mu[111]",0.143465251647557,0.774117534822003,1.46703810977042,2.59448720729249,7.05108011002024,2.02023835278179,1.93544810018337,8
"mu[112]",0.13056642979992,0.841649270237853,1.73899257893169,3.34340944404054,10.177379117534,2.60227473460713,2.8367927051658,8
"mu[113]",0.485535697790663,2.16229108124629,3.96745142329319,6.83398148115119,18.2419948620023,5.29229536168153,4.88381578827479,8
"mu[114]",0.323277374874264,1.57143556557266,2.89118951481639,4.96850214554428,12.518513995941,3.77787531899227,3.30395047116416,8
"mu[115]",0.210693767209652,1.16888172756312,2.51588314875953,4.60991924045926,14.5688363880003,3.66356507150019,4.09342814100196,8
"mu[116]",0.187094977217438,1.19011460335754,2.49459989764431,4.72766985026975,14.6724882526178,3.74972970711444,4.21196204596173,8
"mu[117]",0.17615701860794,1.21839098538093,2.60192031313416,5.04153847484513,16.2759892692545,3.97792797741916,4.61084271666128,8
"mu[118]",0.103440596472141,0.745767216535861,1.53896879377421,2.93972701828019,9.20606765099948,2.29705965901983,2.50117596327174,8
"mu[119]",0.126734180698313,0.712017480713797,1.44480026532246,2.65471219696371,7.96276504663852,2.09088711438347,2.25610807896722,8
"mu[120]",0.171671431333916,1.03923635659043,2.25332288531596,4.53681942160633,16.6074882705627,3.82087740419143,6.2935419356229,8
"mu[121]",0.137060396706521,1.09241805378916,2.24303078034671,4.44047712053344,16.4499183182507,3.69063893194172,4.88776003106668,8
"mu[122]",0.146024711808172,0.957959836378178,2.11051600433243,4.36681811834293,14.8294412175231,3.58881528872505,5.70835794679438,8
"mu[123]",0.159649299454235,0.986233770455545,2.11647345902454,4.25101295748336,15.5431990604246,3.51142243708237,4.5656743338591,8
"mu[124]",0.133833787971145,0.951467355307877,2.11462101789029,4.18976309290317,14.3979555068209,3.49763725448141,4.97947677078897,8
"mu[125]",0.147128799454767,0.955266680562766,2.15942189045205,4.22386038625014,13.5184691692455,3.34318608919026,3.92189354151176,8
"mu[126]",0.130805674387441,0.869311565268281,1.88808250850783,3.61442642286936,11.4446310982915,2.88111718987197,3.53424092694438,8
"mu[127]",0.13575492203776,0.798074188679042,1.75925350401608,3.411311647459,10.30448234624,2.65002440936921,3.05088616828193,8
"mu[128]",0.125809407890221,0.730383032903535,1.5678098754179,3.12971749880972,8.9550041237259,2.34972255591578,2.49813216164477,8
"mu[129]",0.0917377204701756,0.651949927388091,1.4033746788528,2.79268059405601,8.07653046448959,2.1271629614247,2.33381377093598,8
"mu[130]",0.118134676825074,0.679910995796553,1.38993230370003,2.61863447323363,7.66547168468234,2.00750530121786,2.04733021736108,8
"mu[131]",0.0875026903847223,0.61928568175145,1.27390457840356,2.37171042161506,7.11105445413343,1.84618059890214,1.99269922552793,8
"mu[132]",0.110865985371992,0.642263820956148,1.36185196260592,2.48795982016558,6.94071693705115,1.89156864938117,1.8800308687187,8
"mu[133]",0.0997301267907483,0.656475443323975,1.36064556818463,2.60526523422184,7.1931979050739,1.96228964255916,2.04667539354714,8
"mu[134]",0.104092169855252,0.647002523386567,1.26018063886817,2.27368404154758,6.4444341243641,1.74513234348322,1.74959050281906,8
