Date,period,House,Collection,number_collected,time_period,Species,Condition,meconium,Virgin,Plug,Null_I,Null_II,Sac,No-sac,total_dissected,Gravid,pos_only_recorded,_+sac,_+ns,negative,number,notes,,,,,,,
26-May-07,1,222,l,,all_night,Af,Dead,14,0,5,1,4,4,10,38,0,0,,,6,,,,,,,,,
26-May-07,1,23,l,,all_night,Af,Dead,8,8,12,3,7,8,9,55,0,0,,,6,,,,,,,,,
27-May-07,1,23,l,,all_night,Af,Dead,0,8,19,1,6,10,3,47,0,1,,,4,,,,,,,,,
28-May-07,1,222,l,,1st_half_of_night,Af,Live,7,3,6,0,4,3,2,25,0,,,,2,,,,,,,,,
28-May-07,1,3852,l,,all_night,Af,Live,0,0,6,0,0,3,12,21,0,0,,,8,,,,,,,,,
28-May-07,1,23,l,,all_night,Af,Live,6,0,13,0,0,1,2,22,0,0,,,0,,,,,,,,,
29-May-07,1,222,l,,1st_half_of_night,Af,Live,12,0,5,0,1,1,3,22,0,0,,,0,,,,,,,,,
29-May-07,1,3852,l,,all_night,Af,Live,0,0,8,0,7,4,4,23,0,0,,,4,,,,,,,,,
29-May-07,1,23,l,,all_night,Af,Live,1,1,16,0,8,2,1,29,0,0,,,0,,,,,,,,,
02-Jun-07,rain,3852,l,,all_night,Af,Live,0,9,1,3,3,0,7,23,0,,0,1,5,,,,,,,,,
02-Jun-07,rain,1630,l,,all_night,Af,Live,1,0,6,4,2,0,3,16,0,,0,0,10,,,,,,,,,
02-Jun-07,rain,23,l,,all_night,Af,Dead,4,14,2,4,5,0,5,34,0,,0,0,1,,,,,,,,,
02-Jun-07,rain,222,l,,all_night,Af,Dead,13,12,1,2,5,0,2,35,0,0,,,0,,,,,,,,,
03-Jun-07,after,222,l,,2nd_half_of_night,Af,Live,1,8,11,0,2,15,6,43,0,,0,0,3,,,,,,,,,
03-Jun-07,after,3852,l,,all_night,Af,Live,0,1,8,0,2,1,2,14,0,,0,2,1,,,,,,,,,
03-Jun-07,after,23,l,,all_night,Af,Live,0,5,11,1,3,6,7,33,0,,0,0,0,,,,,,,,,
06-Jun-07,after,222,l,,1st_half_of_night,Af,Live,2,8,3,0,4,7,4,28,0,1,,,5,2,,,,,,,,
06-Jun-07,after,3852,l,,all_night,Af,Live,2,4,11,0,1,7,5,30,0,1,,,3,5,,,,,,,,
07-Jun-07,after,23,l,,all_night,Af,Live,1,1,3,0,0,8,1,14,0,,,,9,,,,,,,,,
07-Jun-07,after,3852,l,,all_night,Af,Live,0,0,7,1,4,7,3,22,0,,,,5,,,,,,,,,
