"","X2.5.","X25.","X50.","X75.","X97.5.","Mean","SD","simulation"
"b[1]",0.000504740454841762,0.0214873134739586,0.0537770857143942,0.0914304679332716,0.175444360695379,0.0622823749429647,0.049459292647704,10
"b[2]",1.03032528913405e-05,0.00338709444480951,0.0161836837773536,0.0371606341787514,0.0965979632834871,0.0246037296462749,0.0266039339461394,10
"b[3]",1.27786746206367,1.39777575235824,1.45622287726873,1.51844119607292,1.59889847169185,1.45300287052051,0.0848329101246193,10
"b[4]",2.12902967457913e-06,0.00102787703203617,0.00443864866456184,0.0118331619320047,0.0458417172097485,0.0089582362088746,0.012271018762227,10
"b[5]",5.54774328834817e-05,0.0315658095576351,0.08125221822071,0.136417540782649,0.264256624298082,0.0909438804764806,0.0723442397379183,10
"cycle",2.79141829093485,2.9433667295334,3.02379481574299,3.10536099713887,3.28309265124591,3.02531354690917,0.120632786356725,10
"logb[1]",-7.59147518775825,-3.84029275365384,-2.92290788440887,-2.39217653918867,-1.74043332997902,-3.3644955439004,1.5085869171616,10
"logb[2]",-11.4830512426434,-5.68778282147651,-4.12375177462969,-3.29250531726461,-2.33719762429112,-4.86610236990978,2.36727472502632,10
"logb[3]",0.245192630683007,0.334882224867361,0.375846013050765,0.417684278907231,0.469314936948182,0.37190046438653,0.0591140513156346,10
"logb[4]",-13.0598463242928,-6.88026036690957,-5.4174058168758,-4.43684939337702,-3.08256081018496,-6.07734866021016,2.81514058347468,10
"logb[5]",-9.79953836807165,-3.45568087213808,-2.51019716174068,-1.99203494380086,-1.33083460492534,-3.19483176934406,2.01732877081063,10
"mu[1]",0.2863856116823,1.24627244174197,2.68213367743938,5.64923393259189,23.4777109766729,4.92595678905125,7.36968775849725,10
"mu[2]",0.263834187618466,1.25211434607107,2.68318112127967,5.679530570689,23.7816182823907,5.00854865349443,7.79263425879593,10
"mu[3]",0.272452308076897,1.19122503760847,2.65920866448294,5.55061822905937,24.4102074199598,4.98557880761272,8.01357796808361,10
"mu[4]",0.27853044916825,1.27251318900359,2.7650102975316,5.75236894038283,22.4242461255649,4.96853309924888,7.36733984938814,10
"mu[5]",0.279245871235089,1.2486620797792,2.62432399791925,5.72883123683457,22.9898239495921,4.98064641532964,7.7795920975395,10
"mu[6]",0.298115408293293,1.2957145224447,2.85172008245732,6.06684331614698,23.9825921972418,5.16385420854086,7.30912916289181,10
"mu[7]",0.304341592697795,1.35146544050769,2.88185829216772,6.40182967105076,31.5829217529382,5.92450320555532,9.50928621746389,10
"mu[8]",0.910253091757101,2.7279284874363,4.22724832732427,6.79117684661644,17.8773705443504,5.50490428475923,4.65368226850541,10
"mu[9]",1.78321638279234,3.841341268494,5.36306959854322,7.44368045477216,13.916309570221,6.01320280116431,3.22692023029044,10
"mu[10]",2.86092803674187,5.33059927472905,7.04452058453647,9.46727214720357,17.0118106183796,7.81837387772462,3.70085138320342,10
"mu[11]",1.37431643575385,2.90705785689748,4.00200977130319,5.3693793291062,9.85748521057041,4.396121420945,2.19725325484349,10
"mu[12]",0.344421042633394,1.27207519580412,2.34849195116098,4.55867867273175,24.5357751723463,4.36444204081056,6.28774020840988,10
"mu[13]",0.487636442272931,1.62262044982123,2.70855263630961,4.38850476872882,17.5549133347955,4.06166393519732,5.46901337621874,10
"mu[14]",1.16116241446978,2.96218708270787,4.60162858788715,6.91881714052122,15.9522257503278,5.53764834599219,3.97865202717276,10
"mu[15]",5.15699275264018,8.1679424724103,10.1702972452999,12.7105844336436,19.790193652605,10.7629416671263,3.75754302946473,10
"mu[16]",0.236540387146385,0.818719857391783,1.44397264208895,2.53723366060659,7.88176975602021,2.06479320369023,2.10134568122559,10
"mu[17]",0.302324564908219,0.944565905862693,1.44127730858533,2.06596584678232,3.87415651361284,1.6092815859218,0.946244190830954,10
"mu[18]",1.71254338531357,3.09656752763547,4.17384174946559,5.71455968486286,10.4001695135695,4.65932803692656,2.27843821977716,10
"mu[19]",3.03235596738484,4.62883371193523,5.84797229665831,7.37384808872398,11.9337596872954,6.24953065012245,2.30819921432274,10
"mu[20]",2.69599927406059,5.12532111870827,6.79047022057633,9.12067128829629,16.0383073107575,7.49959611745881,3.50298363369529,10
"mu[21]",0.226045682856777,0.881413437368479,1.64362842844618,3.01138620215807,9.61619172004671,2.4142439484052,2.52933423719316,10
"mu[22]",3.43048671652246,6.00126143439725,8.02833978861691,10.9842289493338,20.2766018506351,9.02310432476673,4.35840511171525,10
"mu[23]",3.13853299201503,5.04621197182789,6.46495168641574,8.34764926508928,13.6253141360639,6.97819101104372,2.74804730900996,10
"mu[24]",0.134215181973156,0.470855267766477,0.85195166389238,1.4831329996131,4.48828590004545,1.21694567657586,1.44131516097664,10
"mu[25]",0.364493862167551,1.06831973215991,1.55183077257037,2.16466154813619,3.9483951695533,1.69779312210691,0.910495871308814,10
